// MobID,Name,JName,ItemID,EggID,AcceID,FoodID,Fullness,HungryDeray ,R_Hungry,R_Full,Intimate,Die,Capture,Speed,S_Performance,talk_convert_class,attack_rate,defence_attack_rate,change_target_rate,pet_script
// 魔物ID,英文名稱,中文名稱,抓捕ID,蛋ID,物品ID,食物ID,飽食度,飢餓度延遲,飢餓度,飽食度,親密度,死亡,捕捉成功率,速度,表演,語言,攻擊率,防禦率,變換目標率,寵物腳本
1170,SHOEE,鬼女,638,9020,10016,537,80,20,10,100,250,20,500,300,0,0,100,2000,200,{}
1188,BON_GUN,妖道,659,9025,10020,537,80,20,10,100,250,20,500,200,1,0,100,100,100,{}
1200,ZHERLTHSH,艾斯恩魔女,660,9026,0,929,80,20,10,100,250,20,50,200,0,0,2000,100,500,{}
1275,ALICE,愛麗絲女僕,661,9027,0,504,80,20,10,100,250,20,100,200,0,0,100,2000,200,{}

1038,OSIRIS,俄塞里斯,9800,9100,0,537,80,20,50,100,250,20,100,300,0,0,1000,2000,1000,{}
1039,BAPHOMET,巴風特,9801,9101,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1046,DOPPELGANGER,死靈,9802,9102,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1059,MISTRESS,蜂后,9803,9103,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1086,GOLDEN,黃金蟲,9804,9104,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1087,HERO,獸人英雄,9805,9105,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1096,ANGELING,天使波利,9806,9106,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1112,DRAKE,海盜之王,9807,9107,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1115,EDDGA,虎王,9808,9108,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1120,GHOSTRING,幽靈波利,9809,9109,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1147,MAYA,蟻后,9810,9110,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1150,MOONLIGHT,月夜貓,9811,9111,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1157,PHARAOH,法老王,9812,9112,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1159,PHREEONI,皮里恩,9813,9113,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1190,ORC,獸人酋長,9814,9114,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1312,TURTLE,烏龜將軍,9815,9115,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1272,DARK,黑暗之王,9816,9116,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1251,WINDSTORM,冰暴騎士,9817,9117,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1252,GARM,卡崙魔物蛋,9818,9118,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1388,ARCHANGELING,聖天使波利,9819,9119,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1389,DRACULA,德古拉男爵,9820,9120,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1582,DEVILING,惡魔波利,9821,9121,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1583,TAO,塔奧群,9822,9122,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1646,SEYREN,闇●騎士領主 賽依連,9823,9123,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1647,EREMES,闇●十字刺客 艾勒梅斯,9824,9124,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1648,HARWORD,闇●神工匠 哈沃得,9825,9125,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1649,MAGALETA,闇●神官 馬嘉雷特,9826,9126,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1650,SHECIL,闇●神射手 迪文魔物蛋,9827,9127,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
1651,KATRINN,闇●超魔導師 凱特莉娜,9828,9128,0,537,80,20,10,100,250,20,100,300,0,0,1000,2000,1000,{}
//=  CSS25 Custom Human Pets  =
1782,SUPER_NOVICE,超級初心者,9622,9250,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1789,KNIGHT,騎士領主,9629,9257,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1790,LORD_KNIGHT,騎士領主,9630,9258,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1791,HIGH_PRIEST,神管,9631,9259,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1792,HIGH_WIZARD,超魔導士,9632,9260,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1793,WHITESMITH,神工匠,9633,9261,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1794,SNIPER,神射手,9634,9262,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1795,ASSASSIN_CROSS,十字刺客,9635,9263,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1796,PALADIN,聖殿十字軍,9636,9264,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1797,CHAMPION,武術宗師,9637,9265,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{} 
1798,PROFESSOR,智者,9638,9266,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1799,STALKER,神行太保,9639,9267,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1800,CREATOR,造物者,9640,9268,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1801,CLOWN,詩人,9641,9269,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1802,GYPSY,舞姬,9642,9270,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1803,TAEKWON,聖殿十字軍,9643,9271,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1804,STAR_GLADIATOR,槍手,9644,9272,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1805,FLYING_STAR_GLADIATOR,忍者,9645,9273,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1806,SOUL_LINKER,我們結婚去,9646,9274,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}

1827,FEMALE_SUPER_NOVICE,超級初心者,9667,9295,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1834,FEMALE_LORD_KNIGHT,騎士領主,9674,9302,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1835,FEMALE_LORD_KNIGHT,騎士領主,9675,9303,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1836,HIGH_PRIESTESS,神管,9676,9304,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1837,FEMALE_HIGH_WIZARD,超魔導士,9677,9305,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1838,FEMALE_WHITESMITH,神工匠,9678,9306,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1839,FEMALE_SNIPER,神射手,9679,9307,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1840,FEMALE_ASSASSIN_CROSS,十字刺客,9680,9308,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1841,FEMALE_PALADIN,聖殿十字軍,9681,9309,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1842,FEMALE_CHAMPION,武術宗師,9682,9310,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1843,FEMALE_FEMALE_PROFESSOR,智者,9683,9311,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1844,FEMALE_STALKER,神行太保,9684,9312,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1845,FEMALE_CREATOR,造物者,9685,9313,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1846,FEMALE_TAEKWON,聖殿十字軍,9686,9314,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1847,FEMALE_STAR_GLADIATOR,槍手,9687,9315,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
1848,FEMALE_FLYING_STAR_GLADIATOR,忍者,9688,9316,0,537,80,20,50,100,250,20,1000,200,1,0,100,100,1000,{}
1849,FEMALE_SOUL_LINKER,我們結婚去,9689,9317,0,537,80,12,1,100,1000,1,1000,200,1,1,10000,10000,10000,{}
