// 道具出售價格，優先於item_db.txt的設定
// ID,Name,Jname,Price,Sell,Not_DC,Not_OC
997,Great_Nature,土靈原石,3000,,,
998,Iron,鐵,100,,,
999,Steel,鋼鐵,1000,,,
1000,Star_Crumb,星星的角,4500,,,
1001,Star_Dust,星星的粉末,1500,,,
1002,Iron_Ore,鐵礦石,2,,,
1003,Coal,煤礦,500,,,
1004,Chivalry_Emblem,忠誠之證,2,,,
1005,Hammer_of_Blacksmith,高級鐵砧,2,,,
1006,Old_Magicbook,古魔法書,2,,,
1007,Necklace_of_Wisdom,慧眼,2,,,
1008,Necklace_of_Oblivion,泯滅之心,2,,,
1009,Hand_of_God,神之手,2,,,
1010,Phracon,強化武器金屬-級數一,200,,,
1011,Emveretarcon,強化武器金屬-級數二,1000,,,
1012,Frill,傘蜥頸,250,,,
1013,Rainbow_Shell,彩色昆蟲外殼,90,,,
1014,Ant_Jaw,螞蟻下巴,232,,,
1015,Tongue,細長舌頭,528,,,
1016,Rat_Tail,鼠尾,52,,,
1017,Mole_Whiskers,鼠鬚,106,,,
1018,Mole_Claw,鼠指甲,210,,,
1019,Trunk,瑪哪樹枝,60,,,
1020,Black_Hair,長髮,292,,,
1021,Dokkaebi_Horn,土人之角,292,,,
1022,Nine_Tails,狐狸尾巴,650,,,
1023,Fish_Tail,魚尾,196,,,
1024,Squid_Ink,墨汁,264,,,
1025,Cobweb,蜘蛛絲,184,,,
1026,Acorn,橡實,98,,,
1027,Porcupine_Quill,刺蝟尖刺,158,,,
1028,Mane,野豬毛,196,,,
1029,Tiger_Skin,虎皮,548,,,
1030,Tiger's_Footskin,虎掌,1500,,,
1031,Mantis_Scythe,螳螂臂,196,,,
1032,Maneater_Blossom,噬人樹花,196,,,
1033,Maneater_Root,噬人樹根,208,,,
1034,Blue_Hair,哥布靈毛,342,,,
1035,Dragon_Canine,龍牙,484,,,
1036,Dragon_Scale,龍鱗,500,,,
1037,Dragon_Tail,龍尾,1200,,,
1038,Little_Evil_Horn,小惡魔角,528,,,
1039,Little_Evil_Wing,小惡魔翅膀,2000,,,
1040,Elder_Pixie's_Moustache,老妖精鬍鬚,232,,,
1041,Lantern,手提燈,250,,,
1042,Bug_Leg,昆蟲後腳,430,,,
1043,Orc_Claw,獸人指甲,168,,,
1044,Zenorc's_Fang,茲諾克之牙,264,,,
1045,Cultish_Masque,聖殿士面具,412,,,
1046,Scorpion_Nipper,蠍子之鉗,614,,,
1047,Dead_Medusa,蛇女之首,548,,,
1048,Horrendous_Hair,蛇髮,800,,,
1049,Skirt_of_Virgin,韓服,1700,,,
1050,Tendon,血管,220,,,
1051,Detonator,腦管,450,,,
1052,Single_Cell,單細胞,46,,,
1053,Ancient_Tooth,人魚之牙,548,,,
1054,Ancient_Lips,人魚嘴巴,1000,,,
1055,Earthworm_Peeling,蚯蚓皮,196,,,
1056,Grit,黃玉碎片,306,,,
1057,Moth_Dust,蛾蝶蟲翅膀粉末,138,,,
1058,Moth_Wings,蛾蝶翅膀,200,,,
1059,Fabric,透明之布,306,,,
1060,Golden_Hair,金色頭髮,430,,,
1061,Witched_Starsand,魔女之星沙,484,,,
1062,Jack_o'_Pumpkin,南瓜頭,374,,,
1063,Fang,銳利錐子,680,,,
1064,Reins,鞭繩,802,,,
1065,Trap,設置用陷阱道具,100,,,
1066,Fine-grained_Trunk,天地樹枝,2,,,
1067,Solid_Trunk,智慧樹枝,2,,,
1068,Barren_Trunk,世界樹枝,2,,,
1069,Orange_Net_Mushroom,毒香菇,2,,,
1070,Orange_Gooey_Mushroom_,惡臭香菇,2,,,
1071,Unknown_Testtube,黑色液體試管,2,,,
1072,DEL_Message,曼修的信件,2,,,
1073,Voucher,送貨收據,2,,,
1074,Voucher,送貨收據,2,,,
1075,Voucher,送貨收據,2,,,
1076,Voucher,送貨收據,2,,,
1077,Voucher,送貨收據,2,,,
1078,Voucher,送貨收據,2,,,
1079,Voucher,送貨收據,2,,,
1080,Voucher,送貨收據,2,,,
1081,DEL_Box,送貨的木箱子,2,,,
1082,DEL_Box_,送貨的木箱子,2,,,
1083,DEL_Box__,送貨的木箱子,2,,,
1084,Kafra_Pass,卡普拉使用券,2,,,
1085,Unknown_Testtube,黑色液體試管,2,,,
1086,Unknown_Testtube,黑色液體試管,2,,,
1087,Unknown_Testtube,黑色液體試管,2,,,
1088,Morroc_Solution,夢羅克水溶液試管,2,,,
1089,Payon_Solution,斐揚水溶液試管,2,,,
1090,Unknown_Testtube,黑色液體試管,2,,,
1091,DEL_Box,送貨用的木箱子,2,,,
1092,Empty_Testtube,空試管,3,,,
1093,Empty_Potion_Bottle,空藥瓶,10,,,
1094,Short_Daenggie,短辮子,278,,,
1095,Needle_of_Alarm,指針,796,,,
1096,Round_Shell,圓形外皮,954,,,
1097,Worn_Out_Page,破舊書頁,820,,,
1098,Manacles,手銬,658,,,
1099,Worn-out_Prison_Uniform,老舊犯人服,466,,,
1101,Sword,長劍,100,,,
1102,Sword,長劍,100,,,
1103,Sword,長劍,100,,,
1104,Falchion,圓月刀,1500,,,
1105,Falchion,圓月刀,1500,,,
1106,Falchion,圓月刀,1500,,,
1107,Blade,厚刃劍,2900,,,
1108,Blade,厚刃劍,2900,,,
1109,Blade,厚刃劍,2900,,,
1110,Rapier,擊刺長劍,10000,,,
1111,Rapier,擊刺長劍,10000,,,
1112,Rapier,擊刺長劍,10000,,,
1113,Scimiter,彎刀,17000,,,
1114,Scimiter,彎刀,17000,,,
1115,Scimiter,彎刀,17000,,,
1116,Katana,武士刀,2000,,,
1117,Katana,武士刀,2000,,,
1118,Katana,武士刀,2000,,,
1119,Tsurugi,日本刀,51000,,,
1120,Tsurugi,日本刀,51000,,,
1121,Tsurugi,日本刀,51000,,,
1122,Ring_Pommel_Saber,圓柄馬刀,24000,,,
1123,Haedonggum,海東劍,50000,,,
1124,Orcish_Sword,獸人刀,20,,,
1125,Ring_Pommel_Saber,圓柄馬刀,24000,,,
1126,Saber,騎兵之劍,49000,,,
1127,Saber,騎兵之劍,49000,,,
1128,Haedonggum,海東劍,50000,,,
1129,Flamberge,水紋之劍,60000,,,
1130,Nagan,多刃尖刺刀,20,,,
1131,Ice_Falchion,水靈之刀,20,,,
1132,Edge,秘劍_慕戀,20,,,
1133,Fireblend,火靈之劍,20,,,
1134,Caesar's_Sword,利剪劍,20,,,
1135,Cutlus,狂擊之劍,20,,,
1136,Solar_Sword,烈陽之劍,20,,,
1137,Excalibur,石中劍,20,,,
1138,Mysteltain,妖劍_弒光,20,,,
1139,Talefing,魔刀_吞神,20,,,
1140,Byeollungum,首領之劍,20,,,
1141,Immaterial_Sword,聖劍_渾沌,20,,,
1142,Jeweled_Sword,尋寶之劍,20,,,
1143,Gaia_Sword,尋礦之劍,20,,,
1144,Sashimi,生魚片刀,20,,,
1145,,神聖復仇者之劍,,,,
1151,Slayer,雙手劍,15000,,,
1152,Slayer,雙手劍,15000,,,
1153,Slayer,雙手劍,15000,,,
1154,Bastard_Sword,亞爾特劍,22500,,,
1155,Bastard_Sword,亞爾特劍,22500,,,
1156,Bastard_Sword,亞爾特劍,22500,,,
1157,Two-handed_Sword,雙手巨劍,60000,,,
1158,Two-handed_Sword,雙手巨劍,60000,,,
1159,Two-handed_Sword,雙手巨劍,60000,,,
1160,Broad_Sword,雙手重劍,65000,,,
1161,Balmung,神器_三十二朔月,20,,,
1162,Broad_Sword,雙手重劍,65000,,,
1163,Claymore,十字巨劍,74000,,,
1164,Muramasa,名刀_不知火,20,,,
1165,Masamune,秘刀_十六夜月,20,,,
1166,Dragon_Slayer,龍牙劍,20,,,
1167,Schweizersabel,風靈之劍,20,,,
1168,Zweihander,巨大雙手劍,20,,,
1169,Executioner,死神之劍,20,,,
1170,Katzbalger,亞藍斯之劍,20,,,
1201,Knife,短劍,50,,,
1202,Knife,短劍,50,,,
1203,Knife,短劍,50,,,
1204,Cutter,卡特短劍,1250,,,
1205,Cutter,卡特短劍,1250,,,
1206,Cutter,卡特短劍,1250,,,
1207,Main_Gauche,笨拙短劍,2400,,,
1208,Main_Gauche,笨拙短劍,2400,,,
1209,Main_Gauche,笨拙短劍,2400,,,
1210,Dirk,德克短劍,8500,,,
1211,Dirk,德克短劍,8500,,,
1212,Dirk,德克短劍,8500,,,
1213,Dagger,大駒短劍,14000,,,
1214,Dagger,大駒短劍,14000,,,
1215,Dagger,大駒短劍,14000,,,
1216,Stiletto,雙刃短劍,19500,,,
1217,Stiletto,雙刃短劍,19500,,,
1218,Stiletto,雙刃短劍,19500,,,
1219,Gladius,長柄短劍,43000,,,
1220,Gladius,長柄短劍,43000,,,
1221,Gladius,長柄短劍,43000,,,
1222,Damascus,大馬士革短劍,49000,,,
1223,Fortune_Sword,幸運短劍,20,,,
1224,Swordbreaker,削刃短劍,20,,,
1225,Mailbreaker,破甲短劍,20,,,
1226,Damascus,大馬士革短劍,49000,,,
1227,Weeder_Knife,鋤草短劍,20,,,
1228,Combat_Knife,戰鬥短劍,20,,,
1229,Mama's_Knife,廚刀,20,,,
1230,House_Auger,破甲短錐,20,,,
1231,Bazerald,華麗短劍,20,,,
1232,Assassin Dagger,妖短劍_泣神怨,20,,,
1233,Excorcise,除靈短劍,20,,,
1234,Walgwanggum,月靈短劍,20,,,
1235,Azoth,變形短劍,20,,,
1236,Sucsamad,砂塵短劍,20,,,
1237,Grimtooth,魔短劍_闇噬,20,,,
1238,Zenny_Knife,金幣短劍,20,,,
1239,Poison_Knife,巨毒短劍,20,,,
1240,Princess_Knife,皇家短劍,20,,,
1241,,詛咒的短劍,,,,
1242,,反擊短劍,,,,
1243,,初學者笨拙短劍,,,,
1250,Jur,拳刃,19500,,,
1251,Jur,拳刃,19500,,,
1252,Katar,卡塔勒拳刃,41000,,,
1253,Katar,卡塔勒拳刃,41000,,,
1254,Jamadhar,秘刃_闇嘯,37200,,,
1255,Jamadhar,秘刃_闇嘯,37200,,,
1256,Katar_of_Cold_Icicle,冰靈拳刃,45000,,,
1257,Katar_of_Dusty_Thornbush,刺藤拳刃,45000,,,
1258,Katar_of_ Raging_Blaze,火靈拳刃,45000,,,
1259,Katar_of_Piercing_Wind,風靈拳刃,45000,,,
1260,Shaprpened_Legbone_of_Ghoul,骸靈拳刃,52500,,,
1261,Infiltrator,刺殺拳刃,57000,,,
1301,Axe,斧,500,,,
1302,Axe,斧,500,,,
1303,Axe,斧,500,,,
1304,Orcish_Axe,獸人斧,20,,,
1305,Cleaver,切削之斧,20,,,
1306,War_Axe,血腥戰斧,,,,
1351,Battle_Axe,巨斧,5400,,,
1352,Battle_Axe,巨斧,5400,,,
1353,Battle_Axe,巨斧,5400,,,
1354,Hammer,鋼斧,15500,,,
1355,Hammer,鋼斧,15500,,,
1356,Hammer,鋼斧,15500,,,
1357,Buster,毀滅之斧,34000,,,
1358,Buster,毀滅之斧,34000,,,
1359,Buster,毀滅之斧,34000,,,
1360,Two-handed_Axe,雙手斧,55000,,,
1361,Two-handed_Axe,雙手斧,55000,,,
1362,Two-handed_Axe,雙手斧,55000,,,
1363,Bloody_Axe,血斧,20,,,
1364,Great_Axe,克萊伊特斧,20,,,
1365,Sabbath,暗靈之斧,20,,,
1366,Light_Epsilon,智天使之斧,20,,,
1367,Slaughter,斯勒特斧,20,,,
1368,Tomahawk,風靈之斧,20,,,
1369,Guillotine,斬首之斧,20,,,
1401,Javelin,長戟,150,,,
1402,Javelin,長戟,150,,,
1403,Javelin,長戟,150,,,
1404,Spear,長矛,1700,,,
1405,Spear,長矛,1700,,,
1406,Spear,長矛,1700,,,
1407,Pike,步兵長矛,3450,,,
1408,Pike,步兵長矛,3450,,,
1409,Pike,步兵長矛,3450,,,
1410,Lance,騎士長矛,60000,,,
1411,Lance,騎士長矛,60000,,,
1412,Lance,騎士長矛,60000,,,
1413,Gungnir,剛尼爾長矛,20,,,
1414,Gelerdria,地靈之矛,20,,,
1415,Brocca,魔力之矛,20,,,
1416,Tjungkuletti,邪靈之矛,20,,,
1417,Poll_Axe,鐮戟,20,,,
1451,Guisarme,彎刃長矛,13000,,,
1452,Guisarme,彎刃長矛,13000,,,
1453,Guisarme,彎刃長矛,13000,,,
1454,Glaive,長槍,20000,,,
1455,Glaive,長槍,20000,,,
1456,Glaive,長槍,20000,,,
1457,Partizan,雙刃長戟,27000,,,
1458,Partizan,雙刃長戟,27000,,,
1459,Partizan,雙刃長戟,27000,,,
1460,Trident,德瑞尹長戟,51000,,,
1461,Trident,德瑞尹長戟,51000,,,
1462,Trident,德瑞尹長戟,51000,,,
1463,Hallberd,斧錘長矛,54000,,,
1464,Hallberd,斧錘長矛,54000,,,
1465,Hallberd,斧錘長矛,54000,,,
1466,Cresent_Scythe,死神之鐮,20,,,
1467,Bill_Guisarme,修爾特長矛,20,,,
1468,Zephyrus,風靈之矛,20,,,
1469,Longinus's_Spear,龍戚弩斯長矛,20,,,
1470,Brionac,聖光之戟,20,,,
1471,Hellfire,火靈之矛,20,,,
1472,Staff_of_Soul,靈魂之杖,,,,
1473,Wizardry_Staff,大巫師之杖,,,,
1501,Club,木錘,120,,,
1502,Club,木錘,120,,,
1503,Club,木錘,120,,,
1504,Mace,鐵錘,1600,,,
1505,Mace,鐵錘,1600,,,
1506,Mace,鐵錘,1600,,,
1507,Smasher,思麥斯鐵錘,9000,,,
1508,Smasher,思麥斯鐵錘,9000,,,
1509,Smasher,思麥斯鐵錘,9000,,,
1510,Flail,流星錘,16000,,,
1511,Flail,流星錘,16000,,,
1512,Flail,流星錘,16000,,,
1513,Morning_Star,日星錘,41000,,,
1514,Morning_Star,日星錘,41000,,,
1515,Morning_Star,日星錘,41000,,,
1516,Sword_Mace,尖刃鐵錘,50000,,,
1517,Sword_Mace,尖刃鐵錘,50000,,,
1518,Sword_Mace,尖刃鐵錘,50000,,,
1519,Chain,鏈錘,23000,,,
1520,Chain,鏈錘,23000,,,
1521,Chain,鏈錘,23000,,,
1522,Stunner,昏迷之錘,60000,,,
1523,Spike,闇盲之錘,20,,,
1524,Golden_Mace,黃金之錘,20,,,
1525,Long_Mace,秘銀長錘,20,,,
1526,Slash,魔錘_安魂曲,20,,,
1527,Quadrille,秘錘_冷月,20,,,
1528,Grand_Cross,聖錘_十字星,20,,,
1529,Iron_Driver,高爾夫球桿,20,,,
1530,Mjollnir,雷神之錘,20,,,
1531,Wrench,鈑手,20,,,
1550,Book,書,30000,,,
1551,Bible,聖言之書,60000,,,
1552,Tablet,智慧石碑,51000,,,
1553,Book_of_Billows,水靈之書,35000,,,
1554,Book_of_Mother_Earth,地靈之書,35000,,,
1555,Book_of_Blazing_Sun,火靈之書,35000,,,
1556,Book_of_Gust_of_Wind,風靈之書,35000,,,
1557,Book_of_the_Apocalypse,預言錄,35000,,,
1558,Girl's_Diary,日記本,20,,,
1599,Angra_Mainyu,聖錘_十字星,,,,
1601,Rod,手杖,50,,,
1602,Rod,手杖,50,,,
1603,Rod,手杖,50,,,
1604,Wand,橡木魔杖,2500,,,
1605,Wand,橡木魔杖,2500,,,
1606,Wand,橡木魔杖,2500,,,
1607,Staff,智慧魔杖,9500,,,
1608,Staff,智慧魔杖,9500,,,
1609,Staff,智慧魔杖,9500,,,
1610,Arc_Wand,言靈魔杖,45000,,,
1611,Arc_Wand,言靈魔杖,45000,,,
1612,Arc_Wand,言靈魔杖,45000,,,
1613,Mighty_Staff,巫杖_魂咬,20,,,
1614,Wand_of_Occult,聖杖_英靈,20,,,
1615,Bone_Wand,骷髏魔杖,20,,,
1701,Bow,弓,1000,,,
1702,Bow,弓,1000,,,
1703,Bow,弓,1000,,,
1704,Composite_Bow,坎普茲弓,2500,,,
1705,Composite_Bow,坎普茲弓,2500,,,
1706,Composite_Bow,坎普茲弓,2500,,,
1707,Great_Bow,克羅伊特弓,10000,,,
1708,Great_Bow,克羅伊特弓,10000,,,
1709,Great_Bow,克羅伊特弓,10000,,,
1710,Cross_Bow,十字弓,17000,,,
1711,Cross_Bow,十字弓,17000,,,
1712,Cross_Bow,十字弓,17000,,,
1713,Arbalest,亞伯雷弓,48000,,,
1714,Gakkung,角弓,42000,,,
1715,Arbalest,亞伯雷弓,48000,,,
1716,Gakkung,角弓,42000,,,
1718,Hunter_Bow,獵人之弓,64000,,,
1719,Roguemaster's_Bow,盜賊之弓,20,,,
1720,Rudra's_Bow,熾天使之弓,20,,,
1721,,十字機弩,,,,
1722,,貝利斯塔強弩,,,,
1750,Arrow,箭矢,1,,,
1751,Silver_Arrow,銀箭矢,3,,,
1752,Fire_Arrow,火箭矢,3,,,
