//item_bluebox.txt＠Athena 2006/05/26 20:20:21 (JST)
// 設定由神秘箱子所得到的道具。
// nameid, item_name(dummy), rate
// 道具的ID、道具的名字、確率(可以做*10000的物品。500000為50%1000000就是100%。)
// 道具的ID是0的場合確率道具選擇中失敗的時候就成功了（或得到某樣東西）默認道具的ID可以識別。(有複數場合只有最後的物有效。) ，默認道具的ID是0的場合道具選擇中失敗的時候就失敗（或得不到某樣東西）
2218,口罩,40000
2221,漁夫帽,30000
2223,圓帽,20000
2225,防風皮革眼鏡,10000
2227,無邊帽,20000
2229,金屬頭盔,10000
2231,寶石頭盔,10000
2233,頭箍,10000
2236,聖誕帽,10000
2239,單眼眼鏡,30000
2241,白鬍鬚,30000
2242,高級太陽眼鏡,20000
2243,旋轉眼鏡,20000
2244,紅蝶髮帶,10000
2249,黃金冠冕,10000
2250,粉紗髮圈,10000
2257,獸角頭飾,10000
2258,尖角髮圈,10000
2260,迷你眼鏡,10000
2261,普隆德拉軍帽,10000
2262,小丑鼻子,40000
2263,時髦眼罩,10000
2265,侍衛口罩,10000
2266,金屬口罩,10000
2267,香菸,10000
2268,煙斗,10000
2269,花葉,10000
2270,草葉,10000
2271,眼鏡頭飾,10000
2272,停止標誌頭飾,10000
2273,醫師髮箍,10000
2275,頭巾,10000
2276,大眼睛眼鏡,10000
2279,火線頭飾,10000
2284,鹿角頭飾,10000
2287,海盜頭巾,10000
2289,糞便帽,10000
2290,葬禮帽,10000
2291,蝴蝶假面,10000
2293,戲劇頭盔,10000
2294,星星髮夾,10000
2295,眼罩,10000
2296,望遠鏡,10000
2298,觸角頭飾,10000
2299,獸人頭盔,10000
2302,棉襯衫,40000
2304,皮製外套,40000
2306,冒險衣,30000
2308,大衣,30000
2310,長大衣,20000
2311,毛皮大衣,10000
2313,鐵製鎧甲,10000
2315,鋼鐵鎖子甲,10000
2317,鋼鐵鎧甲,10000
2322,絲質外袍,20000
2324,聖職之袍,30000
2326,聖職之衣,10000
2329,木製鎧甲,30000
2331,緊身便衣,10000
2333,秘銀之衣,10000
2336,盜賊之衣,10000
2337,忍服_血櫻,10000
2338,結婚禮服,10000
2339,三角褲,50000
2340,初學者胸鎧,10000
2341,秘銀金屬鎧甲,10000
2402,輕便鞋,30000
2404,長靴,20000
2406,戰士長靴,10000
2407,玻璃鞋,10000
2408,腳鍊,50000
2409,抗魔鞋,10000
2502,連帽披肩,40000
2504,披肩,20000
2506,斗篷,10000
2507,伯爵斗篷,10000
2508,抗魔斗篷,10000
2601,力量戒指,10000
2602,智力耳環,10000
2603,體力項鏈,10000
2604,防禦手套,10000
2605,敏捷別針,10000
2607,髮夾,100000
2608,幸運珠鏈,30000
2609,骷髏戒指,100000
2610,金戒指,20000
2611,銀戒指,30000
2612,花戒指,100000
2613,鑽石戒指,10000
2624,防禦手套,10000
2626,幸運珠鏈,10000
5008,花冠,10000
5009,安全帽,10000
5010,印地安髮箍,10000
5014,劍士頭盔,10000
5015,蛋殼帽,40000
7030,沙漠之狼之指甲,10000
10001,牛角骨盔,10000
10002,寵物防毒面具,10000
10003,潛水頭盔,10000
10004,寵物奶嘴,10000
10005,三色假髮,10000
10006,蛇飾髮箍,10000
10007,寵物髮帶,10000
10008,體罰棒,10000
10009,野生花,10000
10010,變形鍋子,10000
10011,寵物髮夾,10000
10012,寵物蛋殼帽,10000
10013,寵物書包,10000
10015,寵物圍兜兜,10000
10016,寵物鈴鐺,10000
10017,樹皮褲,10000
10019,紅色領巾,10000
10020,靈幻道士之劍,10000
