//item_violetbox.txt＠Athena 2006/05/26 20:20:25 (JST)
// 設定由神秘紫箱所得到的道具
// nameid, item_name(dummy), rate
// 道具的ID、道具的名字(dummy)、確率(可以做*10000的物品。500000為50%1000000就是100%。)
// 道具的ID是0的場合確率道具選擇中失敗的時候就成功了（或得到某樣東西）默認道具的ID可以識別。(有複數場合只有最後的物有效。) ，默認道具的ID是0的場合道具選擇中失敗的時候就失敗（或得不到某樣東西）
1951,鞭子,10000
1953,細長鞭子,10000
1955,鋼鐵鞭子,10000
1957,流星鞭子,10000
1959,幸運鞭子,10000
1961,瑪哪鞭子,10000
1962,細刃鞭子,10000
2104,圓盾,20000
2106,鋼盾,10000
2108,鏡盾,10000
2201,太陽眼鏡,10000
2202,太陽眼鏡,10000
2203,眼鏡,10000
2204,眼鏡,10000
2207,花朵頭飾,10000
2209,紫蝶髮帶,40000
2213,貓耳髮圈,10000
2215,花髮圈,10000
2217,聖職之帽,10000
2221,漁夫帽,30000
2223,圓帽,20000
2225,防風皮革眼鏡,10000
2227,無邊帽,20000
2229,金屬頭盔,10000
2231,寶石頭盔,10000
2233,頭箍,10000
2236,聖誕帽,10000
2242,高級太陽眼鏡,20000
2243,旋轉眼鏡,20000
2244,紅蝶髮帶,10000
2249,黃金冠冕,10000
2250,粉紗髮圈,10000
2251,神聖之帽,10000
2256,山羊頭盔,10000
2257,獸角頭飾,10000
2258,尖角髮圈,10000
2261,普隆德拉軍帽,10000
2262,小丑鼻子,40000
2263,時髦眼罩,10000
2264,殭屍帽,10000
2265,侍衛口罩,10000
2266,金屬口罩,10000
2269,花葉,10000
2270,草葉,10000
2271,眼鏡頭飾,10000
2272,停止標誌頭飾,10000
2273,醫師髮箍,10000
2275,頭巾,10000
2276,大眼睛眼鏡,10000
2277,護士帽,500
2279,火線頭飾,10000
2284,鹿角頭飾,10000
2287,海盜頭巾,10000
2289,糞便帽,10000
2290,葬禮帽,10000
2291,蝴蝶假面,10000
2293,戲劇頭盔,10000
2294,星星髮夾,10000
2295,眼罩,10000
2296,望遠鏡,10000
2298,觸角頭飾,10000
2299,獸人頭盔,10000
2302,棉襯衫,40000
2304,皮製外套,40000
2306,冒險衣,30000
2308,大衣,30000
2310,長大衣,20000
2311,毛皮大衣,10000
2313,鐵製鎧甲,10000
2315,鋼鐵鎖子甲,10000
2317,鋼鐵鎧甲,10000
2318,秘衣_美德,100
2322,絲質外袍,20000
2324,聖職之袍,30000
2326,聖職之衣,10000
2329,木製鎧甲,30000
2331,緊身便衣,10000
2333,秘銀之衣,10000
2336,盜賊之衣,10000
2337,忍服_血櫻,10000
2338,結婚禮服,10000
2339,三角褲,50000
2340,初學者胸鎧,10000
2341,秘銀金屬鎧甲,10000
2402,輕便鞋,30000
2404,長靴,20000
2407,玻璃鞋,10000
2408,腳鍊,50000
2409,抗魔鞋,10000
2411,重靴,10000
2502,連帽披肩,40000
2504,披肩,20000
2506,斗篷,10000
2507,伯爵斗篷,10000
2508,抗魔斗篷,10000
2601,力量戒指,10000
2602,智力耳環,10000
2603,體力項鏈,10000
2604,防禦手套,10000
2605,敏捷別針,10000
2607,髮夾,100000
2608,幸運珠鏈,30000
2609,骷髏戒指,100000
2610,金戒指,20000
2611,銀戒指,30000
2612,花戒指,100000
2613,鑽石戒指,10000
2617,智慧手套,1000
2621,力量戒指,100
2622,智力耳環,100
2623,體力項鏈,100
2624,防禦手套,10000
2625,敏捷別針,100
2626,幸運珠鏈,100
5006,頹廢眼鏡,100
5008,花冠,10000
5009,安全帽,10000
5010,印地安髮箍,10000
5014,劍士頭盔,10000
5015,蛋殼帽,10000
5020,卡普拉髮圈,100
5046,妖道帽,10000
15011,真金屬頭盔,1
7055,動物糞便,650000
