//npc_monster.txt¢IAthena 2006/05/31 19:42:58 (JST)

//ª±¨ã¤ÀÃþ³õ(xmas_dun02.gat)
//xmas_dun02.gat,0,0,0,0	monster	²¢»æ¤H	1246,20,0,0,0
//xmas_dun02.gat,0,0,0,0	monster	ª±¨ã¤h§L	1248,35,0,0,0
//xmas_dun02.gat,0,0,0,0	monster	¨¸´cÂ§²°	1249,50,0,0,0
//xmas_dun02.gat,0,0,0,0	monster	¦B¼ÉÃM¤h	1251,1,3600000,1800000,0
//xmas_dun02.gat,0,0,0,0	monster	ºñ»æ¤H	1265,20,0,0,0
//xmas_dun02.gat,0,0,0,0	monster	¥d­ÛÄ_Ä_	1515,1,1800000,900000,0

//ª±¨ã¤u¼t­Ü®w(xmas_dun01.gat)
//xmas_dun01.gat,0,0,0,0	monster	ªi§Q	1002,10,0,0,0
//xmas_dun01.gat,0,0,0,0	monster	ªiªi§Q	1031,20,0,0,0
//xmas_dun01.gat,0,0,0,0	monster	ªi§Q¤§¤ý	1090,1,1800000,900000,0
mjolnir_05.gat,261,100,20,10	monster	ÂÅ¯ó	1079,3,360000,180000,1
mjolnir_05.gat,200,240,40,40	monster	¥ú¨~¯ó	1083,1,1800000,900000,1
mjolnir_05.gat,0,0,0,0	monster	¦ã¦N¼Ú¸¼°G	1099,70,0,0,0
mjolnir_05.gat,0,0,0,0	monster	¦ãµ·»jµï	1100,20,0,0,0
mjolnir_05.gat,0,0,0,0	monster	¾½¤Hªá	1118,20,0,0,0
mjolnir_05.gat,0,0,0,0	monster	Á®½¸	1139,40,0,0,0

//§®°Ç¥§ ¤s¯ß 06(mjolnir_06.gat)
mjolnir_06.gat,0,0,0,0	monster	ªiªi§Q	1031,20,0,0,0
mjolnir_06.gat,162,255,0,0	monster	ÂÅ¯ó	1079,1,360000,180000,1
mjolnir_06.gat,162,285,0,0	monster	ÂÅ¯ó	1079,1,360000,180000,1
mjolnir_06.gat,279,174,0,0	monster	¬õÛ£	1085,1,180000,90000,1
mjolnir_06.gat,296,317,0,0	monster	¬õÛ£	1085,1,180000,90000,1
mjolnir_06.gat,304,98,0,0	monster	¬õÛ£	1085,1,180000,90000,1
mjolnir_06.gat,339,168,0,0	monster	¬õÛ£	1085,1,180000,90000,1
mjolnir_06.gat,45,345,0,0	monster	¬õÛ£	1085,1,180000,90000,1
mjolnir_06.gat,55,276,0,0	monster	¬õÛ£	1085,1,180000,90000,1
mjolnir_06.gat,69,225,0,0	monster	¬õÛ£	1085,1,180000,90000,1
mjolnir_06.gat,73,339,0,0	monster	¬õÛ£	1085,1,180000,90000,1
mjolnir_06.gat,0,0,0,0	monster	¨ëç³ÂÎ	1103,40,0,0,0
mjolnir_06.gat,0,0,0,0	monster	ªQ¹«	1104,20,0,0,0
mjolnir_06.gat,0,0,0,0	monster	Áê§ÎÂÎ	1128,30,0,0,0
mjolnir_06.gat,0,0,0,0	monster	¿]ÂÎ	1174,50,0,0,0

//§®°Ç¥§ ¤s¯ß 07(mjolnir_07.gat)
mjolnir_07.gat,0,0,0,0	monster	¸Á§L	1004,20,0,0,0
mjolnir_07.gat,0,0,0,0	monster	ªiªi§Q	1031,20,0,0,0
mjolnir_07.gat,0,0,0,0	monster	¬rÅ]Û£	1077,60,0,0,0
mjolnir_07.gat,249,214,0,0	monster	ÂÅ¯ó	1079,2,360000,180000,1
mjolnir_07.gat,140,179,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_07.gat,181,173,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_07.gat,272,152,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_07.gat,273,181,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_07.gat,299,145,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_07.gat,314,133,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_07.gat,97,210,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_07.gat,217,185,0,0	monster	¬õÛ£	1085,1,180000,90000,1
mjolnir_07.gat,245,168,0,0	monster	¬õÛ£	1085,1,180000,90000,1
mjolnir_07.gat,0,0,0,0	monster	½½¤û	1094,30,0,0,0
mjolnir_07.gat,0,0,0,0	monster	ªQ¹«	1104,20,0,0,0
mjolnir_07.gat,0,0,0,0	monster	Áê§ÎÂÎ	1128,20,0,0,0

//§®°Ç¥§ ¤s¯ß 08(mjolnir_08.gat)
mjolnir_08.gat,0,0,0,0	monster	ªi§Q	1002,10,0,0,0
mjolnir_08.gat,0,0,0,0	monster	ªiªi§Q	1031,20,0,0,0
mjolnir_08.gat,280,280,20,40	monster	ÂÅ¯ó	1079,2,360000,180000,1
mjolnir_08.gat,149,328,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_08.gat,169,204,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_08.gat,176,153,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_08.gat,180,282,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_08.gat,207,232,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_08.gat,207,83,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_08.gat,0,0,0,0	monster	¦ã¦N¼Ú¸¼°G	1099,30,0,0,0
mjolnir_08.gat,0,0,0,0	monster	¦ãµ·»jµï	1100,30,0,0,0
mjolnir_08.gat,0,0,0,0	monster	Á®½¸	1139,50,0,0,0

//§®°Ç¥§ ¤s¯ß 09(mjolnir_09.gat)
mjolnir_09.gat,0,0,0,0	monster	¯T	1013,40,0,0,0
mjolnir_09.gat,0,0,0,0	monster	ªiªi§Q	1031,30,0,0,0
mjolnir_09.gat,120,126,0,0	monster	¬õÛ£	1085,1,180000,90000,1
mjolnir_09.gat,125,82,0,0	monster	¬õÛ£	1085,1,180000,90000,1
mjolnir_09.gat,139,84,0,0	monster	¬õÛ£	1085,1,180000,90000,1
mjolnir_09.gat,198,297,0,0	monster	¬õÛ£	1085,1,180000,90000,1
mjolnir_09.gat,199,344,0,0	monster	¬õÛ£	1085,1,180000,90000,1
mjolnir_09.gat,204,321,0,0	monster	¬õÛ£	1085,1,180000,90000,1
mjolnir_09.gat,205,352,0,0	monster	¬õÛ£	1085,1,180000,90000,1
mjolnir_09.gat,210,331,0,0	monster	¬õÛ£	1085,1,180000,90000,1
mjolnir_09.gat,212,312,0,0	monster	¬õÛ£	1085,1,180000,90000,1
mjolnir_09.gat,73,122,0,0	monster	¬õÛ£	1085,1,180000,90000,1
mjolnir_09.gat,89,141,0,0	monster	¬õÛ£	1085,1,180000,90000,1
mjolnir_09.gat,0,0,0,0	monster	ªQ¹«	1104,10,0,0,0
mjolnir_09.gat,0,0,0,0	monster	Áê§ÎÂÎ	1128,100,0,0,0
mjolnir_09.gat,0,0,0,0	monster	¿]ÂÎ	1174,30,0,0,0
mjolnir_09.gat,0,0,0,0	monster	½ÀÂÎ	1052,20,0,0,0

//§®°Ç¥§ ¤s¯ß 10(mjolnir_10.gat)
mjolnir_10.gat,0,0,0,0	monster	ªiªi§Q	1031,30,0,0,0
mjolnir_10.gat,0,0,0,0	monster	ºñ¯ó	1080,10,180000,90000,1
mjolnir_10.gat,123,331,10,10	monster	¥ú¨~¯ó	1083,1,1800000,900000,1
mjolnir_10.gat,0,0,0,0	monster	¦ãµ·»jµï	1100,50,0,0,0
mjolnir_10.gat,0,0,0,0	monster	¾½¤Hªá	1118,15,0,0,0
mjolnir_10.gat,0,0,0,0	monster	Á®½¸	1139,20,0,0,0
mjolnir_10.gat,0,0,0,0	monster	²¦«Ò¯S¦aÀs	1155,5,0,0,0
mjolnir_10.gat,0,0,0,0	monster	¦ã¦N¼Ú¸¼°G	1099,60,0,0,0

//§®°Ç¥§ ¤s¯ß 11(mjolnir_11.gat)
mjolnir_11.gat,0,0,0,0	monster	°ÒªûÃ¹Å]ªá	1020,50,0,0,0
mjolnir_11.gat,0,0,0,0	monster	ªiªi§Q	1031,10,0,0,0
mjolnir_11.gat,0,0,0,0	monster	º¿°ÇµsÂÎ	1054,30,0,0,0
mjolnir_11.gat,126,93,0,0	monster	ÂÅ¯ó	1079,1,360000,180000,1
mjolnir_11.gat,332,327,0,0	monster	ÂÅ¯ó	1079,1,360000,180000,1
mjolnir_11.gat,112,276,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_11.gat,116,240,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_11.gat,129,135,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_11.gat,145,177,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_11.gat,146,215,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_11.gat,159,283,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_11.gat,197,123,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_11.gat,198,210,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_11.gat,231,277,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_11.gat,282,300,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_11.gat,295,271,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
mjolnir_11.gat,0,0,0,0	monster	¦ã¦N¼Ú¸¼°G	1099,10,0,0,0
mjolnir_11.gat,0,0,0,0	monster	¾½¤Hªá	1118,60,0,0,0

//§®°Ç¥§ ¤s¯ß 12(mjolnir_12.gat)
mjolnir_12.gat,0,0,0,0	monster	¯B°ÇµsÂÎ	1053,20,0,0,0
mjolnir_12.gat,0,0,0,0	monster	ÂyÃÇ	1114,50,0,0,0
mjolnir_12.gat,0,0,0,0	monster	¦Ç´ËÆF	1215,20,0,0,0

//´¶¶©¼w©Ô °Ï°ì 00(prt_fild00.gat)
prt_fild00.gat,0,0,0,0	monster	ªi§Q	1002,40,0,0,0
prt_fild00.gat,0,0,0,0	monster	¸Á§L	1004,40,0,0,0
prt_fild00.gat,0,0,0,0	monster	ºñ´ÖÂÎ	1007,20,0,0,0
prt_fild00.gat,0,0,0,0	monster	ÂÎ¸º	1008,50,0,0,0
prt_fild00.gat,0,0,0,0	monster	§J·ç¦Ì	1018,10,0,0,0
prt_fild00.gat,0,0,0,0	monster	ºÆ¨ß	1063,30,0,0,0
prt_fild00.gat,285,138,10,10	monster	ºñ¯ó	1080,5,360000,180000,1
prt_fild00.gat,227,212,0,0	monster	¥ú¨~¯ó	1083,1,1800000,900000,1

//´¶¶©¼w©Ô °Ï°ì 01(prt_fild01.gat)
prt_fild01.gat,0,0,0,0	monster	ªi§Q	1002,30,0,0,0
prt_fild01.gat,0,0,0,0	monster	ºñ´ÖÂÎ	1007,20,0,0,0
prt_fild01.gat,0,0,0,0	monster	ÂÎ¸º	1008,10,0,0,0
prt_fild01.gat,0,0,0,0	monster	µsÂÎ	1051,30,0,0,0
prt_fild01.gat,0,0,0,0	monster	ºÆ¨ß	1063,80,0,0,0
prt_fild01.gat,199,266,3,3	monster	ÂÅ¯ó	1079,1,900000,450000,1
prt_fild01.gat,199,266,3,3	monster	ºñ¯ó	1080,3,360000,180000,1

//´¶¶©¼w©Ô °Ï°ì 02(prt_fild02.gat)
prt_fild02.gat,0,0,0,0	monster	ªi§Q	1002,30,0,0,0
prt_fild02.gat,0,0,0,0	monster	ºñ´ÖÂÎ	1007,50,0,0,0
prt_fild02.gat,0,0,0,0	monster	ÂÎ¸º	1008,20,0,0,0
prt_fild02.gat,0,0,0,0	monster	°ÒªûÃ¹Å]ªá	1020,75,0,0,0
prt_fild02.gat,0,0,0,0	monster	ºÆ¨ß	1063,60,0,0,0
prt_fild02.gat,339,309,3,3	monster	¥ú¨~¯ó	1083,1,1800000,900000,1
prt_fild02.gat,0,0,0,0	monster	ºÆ¨ß¤§¤ý	1093,1,3600000,1800000,1

//´¶¶©¼w©Ô °Ï°ì 03(prt_fild03.gat)
prt_fild03.gat,0,0,0,0	monster	ªi§Q	1002,30,0,0,0
prt_fild03.gat,0,0,0,0	monster	ºñ´ÖÂÎ	1007,10,0,0,0
prt_fild03.gat,0,0,0,0	monster	»©¿ß	1056,50,0,0,0
prt_fild03.gat,0,0,0,0	monster	·È·ÈµU	1057,70,0,0,0
prt_fild03.gat,296,58,15,15	monster	ÂÅ¯ó	1079,2,900000,450000,1
prt_fild03.gat,296,58,15,15	monster	ºñ¯ó	1080,20,180000,90000,1
prt_fild03.gat,0,0,0,0	monster	¥©§JµU	1214,3,0,0,0

//´¶¶©¼w©Ô °Ï°ì 04(prt_fild04.gat)
prt_fild04.gat,0,0,0,0	monster	ªi§Q	1002,30,0,0,0
prt_fild04.gat,0,0,0,0	monster	ÂÎ¸º	1008,10,0,0,0
prt_fild04.gat,0,0,0,0	monster	§J·ç¦Ì	1018,40,0,0,0
prt_fild04.gat,0,0,0,0	monster	½ÀÂÎ	1052,70,0,0,0
prt_fild04.gat,147,319,5,5	monster	ºñ¯ó	1080,2,360000,180000,1
prt_fild04.gat,148,107,5,5	monster	ºñ¯ó	1080,2,360000,180000,1
prt_fild04.gat,307,75,5,5	monster	ºñ¯ó	1080,1,360000,180000,1
prt_fild04.gat,0,0,0,0	monster	·nºu½ÀÂÎ	1088,1,3600000,1800000,0

//´¶¶©¼w©Ô °Ï°ì 05(prt_fild05.gat)
prt_fild05.gat,0,0,0,0	monster	ªi§Q	1002,70,0,0,0
prt_fild05.gat,0,0,0,0	monster	ÂÎ¸º	1008,30,0,0,0
prt_fild05.gat,0,0,0,0	monster	µsÂÎ§Z	1048,20,0,0,0
prt_fild05.gat,0,0,0,0	monster	µsÂÎ	1051,10,0,0,0
prt_fild05.gat,0,0,0,0	monster	ºÆ¨ß	1063,30,0,0,0
prt_fild05.gat,208,37,10,10	monster	ÂÅ¯ó	1079,1,900000,450000,1
prt_fild05.gat,208,37,10,10	monster	ºñ¯ó	1080,6,900000,450000,1

//´¶¶©¼w©Ô °Ï°ì 06(prt_fild06.gat)
prt_fild06.gat,0,0,0,0	monster	ªi§Q	1002,60,0,0,0
prt_fild06.gat,0,0,0,0	monster	ÂÎ¸º	1008,20,0,0,0
prt_fild06.gat,0,0,0,0	monster	µsÂÎ§Z	1048,20,0,0,0
prt_fild06.gat,0,0,0,0	monster	µsÂÎ	1051,10,0,0,0
prt_fild06.gat,0,0,0,0	monster	ºÆ¨ß	1063,60,0,0,0
prt_fild06.gat,222,30,40,10	monster	ºñ¯ó	1080,15,900000,450000,1

//´¶¶©¼w©Ô °Ï°ì 07(prt_fild07.gat)
prt_fild07.gat,0,0,0,0	monster	ªiªi§Q	1031,30,0,0,0
prt_fild07.gat,0,0,0,0	monster	½ÀÂÎ	1052,120,0,0,0
prt_fild07.gat,225,110,5,5	monster	¶ÂÛ£	1084,3,360000,180000,0

//´¶¶©¼w©Ô °Ï°ì 08(prt_fild08.gat)
prt_fild08.gat,0,0,0,0	monster	ªi§Q	1002,100,0,0,0
prt_fild08.gat,0,0,0,0	monster	ÂÎ¸º	1008,20,0,0,0
prt_fild08.gat,0,0,0,0	monster	ºÆ¨ß	1063,40,0,0,0
prt_fild08.gat,350,114,10,10	monster	ºñ¯ó	1080,5,900000,450000,1
prt_fild08.gat,0,0,0,0	monster	¤gªi§Q	1113,10,0,0,0

//´¶¶©¼w©Ô °Ï°ì 09(prt_fild09.gat)
prt_fild09.gat,0,0,0,0	monster	¤j¼L³¾³J	1047,20,0,0,0
prt_fild09.gat,0,0,0,0	monster	¨rÆN	1009,10,0,0,0
prt_fild09.gat,0,0,0,0	monster	¤pÂû	1049,20,0,0,0
prt_fild09.gat,237,115,5,5	monster	¶À¯ó	1081,3,360000,180000,1
prt_fild09.gat,0,0,0,0	monster	¨Fºz¥®¯T	1107,20,0,0,0
prt_fild09.gat,0,0,0,0	monster	¤p³¥½Þ	1167,70,0,0,0


//Ä¬§J©Ô¯S ¨Fºz 02(moc_fild02.gat)
moc_fild02.gat,0,0,0,0	monster	¤j¼L³¾	1019,70,0,0,0
moc_fild02.gat,0,0,0,0	monster	¤j¼L³¾³J	1047,40,0,0,0
moc_fild02.gat,230,62,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
moc_fild02.gat,299,61,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
moc_fild02.gat,313,149,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
moc_fild02.gat,337,35,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
moc_fild02.gat,342,267,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
moc_fild02.gat,353,103,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
moc_fild02.gat,359,215,0,0	monster	ºñ¯ó	1080,1,180000,90000,1
moc_fild02.gat,132,307,0,0	monster	¶À¯ó	1081,1,180000,90000,1
moc_fild02.gat,139,222,0,0	monster	¶À¯ó	1081,1,180000,90000,1
moc_fild02.gat,194,294,0,0	monster	¶À¯ó	1081,1,180000,90000,1
moc_fild02.gat,275,241,0,0	monster	¶À¯ó	1081,1,180000,90000,1
moc_fild02.gat,89,315,0,0	monster	¶À¯ó	1081,1,180000,90000,1
moc_fild02.gat,94,195,0,0	monster	¶À¯ó	1081,1,180000,90000,1
moc_fild02.gat,99,261,0,0	monster	¶À¯ó	1081,1,180000,90000,1
moc_fild02.gat,0,0,0,0	monster	¥ÕÃÆ¥®ÂÎ	1097,10,0,0,0
moc_fild02.gat,0,0,0,0	monster	¤gªi§Q	1113,30,0,0,0
moc_fild02.gat,0,0,0,0	monster	¤pÂû	1049,10,0,0,0

//Ä¬§J©Ô¯S ¨Fºz 03(moc_fild03.gat)
moc_fild03.gat,0,0,0,0	monster	¾ðºë	1010,30,0,0,0
moc_fild03.gat,0,0,0,0	monster	ªiªi§Q	1031,30,0,0,0
moc_fild03.gat,0,0,0,0	monster	ªø¦Ñ¾ðºë	1033,70,0,0,0
moc_fild03.gat,108,199,5,5	monster	ºñ¯ó	1080,2,180000,90000,1
moc_fild03.gat,200,263,5,5	monster	ºñ¯ó	1080,2,180000,90000,1
moc_fild03.gat,213,201,5,5	monster	ºñ¯ó	1080,2,180000,90000,1
moc_fild03.gat,216,69,5,5	monster	ºñ¯ó	1080,2,180000,90000,1
moc_fild03.gat,261,161,5,5	monster	ºñ¯ó	1080,2,180000,90000,1
moc_fild03.gat,77,311,5,5	monster	ºñ¯ó	1080,2,180000,90000,1
moc_fild03.gat,96,65,5,5	monster	ºñ¯ó	1080,2,180000,90000,1
moc_fild03.gat,0,0,0,0	monster	¬y®ö¤§¯T	1092,1,3600000,1800000,0
moc_fild03.gat,0,0,0,0	monster	ÂàÂà³J	1116,20,0,0,0
moc_fild03.gat,0,0,0,0	monster	±N­xÅ]¸O	1277,40,0,0,0

//Ä¬§J©Ô¯S ¨Fºz 04(moc_fild04.gat)
moc_fild04.gat,0,0,0,0	monster	ÃÈ¤l	1001,30,0,0,0
moc_fild04.gat,0,0,0,0	monster	­«ª÷ÄÝ½ÀÂÎ	1058,20,0,0,0
moc_fild04.gat,313,84,10,10	monster	¶À¯ó	1081,10,900000,450000,1
moc_fild04.gat,0,0,0,0	monster	¥ÕÃÆ	1095,20,0,0,0
moc_fild04.gat,0,0,0,0	monster	¥ÕÃÆ¥®ÂÎ	1097,10,0,0,0
moc_fild04.gat,0,0,0,0	monster	§LÃÆ	1105,20,0,0,0
moc_fild04.gat,0,0,0,0	monster	¨Fºz¤§¯T	1106,10,0,0,0
moc_fild04.gat,0,0,0,0	monster	Å]Áç³J	1138,40,0,0,0
moc_fild04.gat,0,0,0,0	monster	¤uÃÆ	1160,20,0,0,0

//Ä¬§J©Ô¯S ¨Fºz 05(moc_fild05.gat)
moc_fild05.gat,0,0,0,0	monster	¥¨¥Û©Ç	1040,70,0,0,0
moc_fild05.gat,0,0,0,0	monster	­«ª÷ÄÝ½ÀÂÎ	1058,40,0,0,0
moc_fild05.gat,208,233,10,10	monster	¶À¯ó	1081,5,360000,180000,1
moc_fild05.gat,0,0,0,0	monster	¥ÕÃÆ	1095,10,0,0,0
moc_fild05.gat,0,0,0,0	monster	¥ÕÃÆ¥®ÂÎ	1097,10,0,0,0
moc_fild05.gat,0,0,0,0	monster	§LÃÆ	1105,10,0,0,0
